Order_ID,Customer_ID,Restaurant_ID,Order_Date,City_x,Order_Value,Payment_Method,Rating,Delivery_Time(min),Restaurant_Name,Cuisine,Avg_Price,City_y,Partner_Since,Name,Age,Gender,City,Member_Since
O1000,C328,R327,2024-06-05,Pune,892.69,Credit Card,2,27,Purab's Grill,Chinese,420,Pune,2023-05-07,Aradhya Choudhary,37,M,Chennai,2023-06-23
O1001,C608,R250,2024-09-17,Mumbai,433.09,Net Banking,2,36,Anaya's Café,American,635,Delhi,2023-04-16,Khushi Mand,48,F,Pune,2023-01-01
O1002,C891,R343,2023-05-07,Hyderabad,1484.12,Debit Card,1,22,Mehul's Eatery,Italian,275,Mumbai,2020-09-24,Armaan Biswas,29,M,Mumbai,2023-08-30
O1003,C421,R345,2023-05-17,Chennai,801.22,Credit Card,3,38,Divyansh's Bistro,Chinese,513,Mumbai,2020-10-24,Aarav Jayaraman,39,F,Pune,2022-05-07
O1004,C573,R334,2024-05-01,Pune,371.83,Debit Card,2,40,Seher's Diner,American,361,Bangalore,2022-11-29,Hansh Madan,42,F,Hyderabad,2022-09-02
O1005,C451,R244,2023-10-10,Mumbai,767.89,UPI,1,55,Prisha's Bistro,American,544,Hyderabad,2023-01-18,Amani Basu,51,M,Chennai,2023-04-29
O1006,C792,R241,2023-06-23,Mumbai,1312.98,Credit Card,3,55,Aaina's Bistro,American,455,Delhi,2021-04-16,Samiha Virk,43,M,Pune,2022-12-24
O1007,C828,R334,2024-10-10,Chennai,130.53,COD,5,17,Seher's Diner,American,361,Bangalore,2022-11-29,Eshani Jha,34,M,Delhi,2022-01-23
O1008,C811,R214,2023-03-18,Pune,1051.38,UPI,1,21,Vardaniya's Grill,Mexican,425,Mumbai,2021-10-17,Manjari Dhar,45,M,Delhi,2021-11-22
O1009,C879,R259,2024-01-04,Pune,867.15,Debit Card,3,16,Shaan's Café,Indian,620,Bangalore,2020-08-09,Tarini Jaggi,32,M,Delhi,2022-01-29
O1010,C123,R239,2023-11-12,Delhi,337.38,Net Banking,4,47,Advika's Bistro,Thai,435,Chennai,2024-02-07,Vaibhav Dewan,45,F,Hyderabad,2023-09-01
O1011,C789,R311,2023-04-07,Hyderabad,1244.47,COD,2,26,Zaina's Grill,American,331,Chennai,2023-05-21,Alia Ramachandran,18,F,Chennai,2022-11-05
O1012,C715,R276,2023-10-10,Bangalore,616.44,Credit Card,1,26,Zaina's Eatery,American,328,Mumbai,2021-01-05,Saira Kanda,30,F,Hyderabad,2023-04-22
O1013,C291,R304,2024-07-20,Delhi,511.32,UPI,5,24,Kaira's Grill,Mexican,219,Delhi,2022-03-24,Drishya Saini,43,F,Chennai,2023-02-05
O1014,C868,R306,2024-05-02,Mumbai,1259.38,Credit Card,1,55,Inaaya 's Café,Chinese,269,Hyderabad,2021-03-16,Kanav Singh,48,M,Hyderabad,2021-05-13
O1015,C219,R321,2023-03-19,Hyderabad,993.94,Credit Card,2,41,Onkar's Diner,American,256,Hyderabad,2021-08-29,Hansh Sampath,40,M,Mumbai,2024-04-14
O1016,C664,R279,2024-07-23,Hyderabad,1357.56,COD,2,32,Manjari's Eatery,American,648,Bangalore,2020-03-02,Madhup Ganesan,34,M,Bangalore,2022-09-27
O1017,C288,R324,2023-09-17,Pune,981.84,COD,3,18,Lakshit's Eatery,Mexican,318,Pune,2021-04-16,Pari Chhabra,37,F,Hyderabad,2023-06-12
O1018,C464,R333,2024-07-25,Hyderabad,1137.14,COD,5,54,Mannat's Bistro,American,735,Hyderabad,2021-12-30,Anahi Bhargava,39,F,Bangalore,2022-10-06
O1019,C691,R231,2023-02-02,Chennai,1271.02,COD,3,37,Pihu's Diner,American,696,Delhi,2022-03-07,Advika Lala,30,M,Hyderabad,2022-11-06
O1020,C563,R307,2023-03-05,Hyderabad,176.64,Net Banking,5,35,Vaibhav's Café,American,410,Bangalore,2022-04-30,Kanav Bhat,26,F,Hyderabad,2022-01-10
O1021,C461,R313,2023-11-04,Mumbai,1186.47,Debit Card,1,50,Riaan's Bistro,Chinese,735,Delhi,2021-07-19,Rhea Buch,43,M,Hyderabad,2021-04-09
O1022,C375,R345,2024-06-13,Chennai,959.19,COD,1,44,Divyansh's Bistro,Chinese,513,Mumbai,2020-10-24,Shaan Chand,41,M,Pune,2022-11-10
O1023,C789,R267,2024-03-28,Chennai,197.31,UPI,3,35,Hazel's Bistro,Mexican,566,Mumbai,2023-07-26,Alia Ramachandran,18,F,Chennai,2022-11-05
O1024,C216,R326,2023-03-26,Delhi,812.01,Credit Card,4,37,Heer's Bistro,Mexican,715,Delhi,2021-04-05,Nirvi Manne,21,F,Delhi,2023-06-30
O1025,C463,R334,2024-09-12,Hyderabad,215.44,COD,2,35,Seher's Diner,American,361,Bangalore,2022-11-29,Divij Chowdhury,54,F,Mumbai,2021-09-12
